id,title,type,url
DNJK7G9J,Event processing in action,Book,http://www.worldcat.org/search?q=isbn%3A
H3VUC7HR,Evolving a First-Generation Apache HBase Deployment...,Presentation,http://www.slideshare.net/cloudera/hbasecon-2013-evolving-a-firstgeneration-apache-hbase-deployment-to-second-generation-and-beyond
F5BD4WNS,Exhibitor,Software,https://github.com/Netflix/exhibitor
E5KCDKSR,Exploring everythings with R and Ruby.,Book,http://www.worldcat.org/search?q=isbn%3A9781449315153
U5B4KEAS,Extracting insights from the shape of complex data using topology,Journal Article,http://www.nature.com/srep/2013/130207/srep01236/full/srep01236.html
5IME55QK,Facet: The Recursive Approach to Visualization,Presentation,http://strataconf.com/strata2013/public/schedule/detail/27485
DFP2R2GJ,"Fast, Cheap, and 98% Right: Cardinality Estimation for Big Data",Blog Post,http://metamarkets.com/2012/fast-cheap-and-98-right-cardinality-estimation-for-big-data/
EWABQZPZ,FasteR! HigheR! StongeR! -- A Guide to Speeding Up R Code for Busy People,Web Page,http://www.r-bloggers.com/faster-higher-stonger-a-guide-to-speeding-up-r-code-for-busy-people/
GMV9AZ7W,"Faster, More Memory Efficient SQL queries via IOPro",Blog Post,http://continuum.io/blog/iopro-pyodbc-performance
2IR9I97U,Faunus,Software,https://github.com/thinkaurelius/faunus
E8QTKDVZ,Feedback Control for Programmers and Other Strangers,Presentation,http://strataconf.com/strata2013/public/schedule/detail/27667
UWIQV2BG,Finagle,Software,https://github.com/twitter/finagle
NUQB4N97,Find and be Found: Information Retrieval at LinkedIn,Presentation,http://www.slideshare.net/dtunkelang/find-and-be-found-information-retrieval-at-linked-in
E34CSES7,Forget-Table,Software,https://github.com/bitly/forgettable
64SJQ2KX,Foundations of machine learning,Book,http://www.worldcat.org/search?q=isbn%3A9780262305662
WX3U7UTS,FuzzyWuzzy,Software,https://github.com/seatgeek/fuzzywuzzy
E462QEX9,GDELT Data,Web Page,http://eventdata.psu.edu/data.dir/GDELT.html#.UWMC3-UnquE.twitter
UAN9HUID,GIS Tools for Hadoop,Software,https://github.com/Esri/gis-tools-for-hadoop
663Q9DF7,Ganglia Monitoring System,Software,http://ganglia.info/
XIUA2I36,Genie,Software,https://github.com/Netflix/genie
BPTD4V2N,Genie - Hadoop Platform as a Service at Netflix,Presentation,http://www.slideshare.net/krishflix/genie-hadoop-platform-as-a-service-at-netflix
9US295WJ,Gephi,Software,https://gephi.org/
QRJSBPKG,Getting Started With Amazon Redshift,Book,http://www.worldcat.org/search?q=isbn%3A129967402X
P2652VUJ,Getting Started with Talend Open Studio for Data Integration,Book,http://www.worldcat.org/search?q=isbn%3A
UWNSIVWZ,"Getting started with Google Guava write better, more efficient Java, and have fun doing so",Book,http://www.worldcat.org/search?q=isbn%3A
VSKZ44QN,Gnuplot Cookbook.,Book,http://www.worldcat.org/search?q=isbn%3A9781849517249
CJUC3XMU,"Good math: a geek's guide to the beauty of numbers, logic, and computation",Book,http://www.worldcat.org/search?q=isbn%3A1937785335
XAM23V5A,Google BigQuery,Software,https://developers.google.com/bigquery/docs/overview
7M28N2P2,Google Fusion Tables,Software,https://developers.google.com/fusiontables/
SIJ2FQUT,Graph Dracula,Software,https://github.com/strathausen/dracula
MAS4ZP2E,Graph databases,Book,http://www.worldcat.org/search?q=isbn%3A9781449356224
NRASWDAD,GraphChi,Software,http://graphchi.org
EFSQ3U36,GraphChi: Large-scale graph computation on just a PC,Conference Paper,https://www.usenix.org/system/files/conference/osdi12/osdi12-final-126.pdf
B4QD943A,Graphene,Software,https://github.com/jondot/graphene
P8J9TZ8A,Graphical models with R,Book,http://www.worldcat.org/search?q=isbn%3A9781461422990
MUNQVFI3,Gremlin,Software,https://github.com/tinkerpop/gremlin
8GJ54PFP,H2O,Software,https://github.com/0xdata/h2o
BNI7CJMT,HBase Administration Cookbook,Book,http://www.worldcat.org/search?q=isbn%3A9781849517140
ZJTANGDP,HBase Client APIs (for webapps?),Presentation,http://www.slideshare.net/xefyr/hbase-client-apis-for-webapps
AFEGWFTW,HBase Data Types (WIP),Presentation,http://www.slideshare.net/xefyr/hbase-data-types-wip
KAKCCPVM,HBase in action,Book,http://www.worldcat.org/search?q=isbn%3A
G32469AT,HBase the definitive guide,Book,http://www.worldcat.org/search?q=isbn%3A9781449315771
8IKBX6R4,HBaseHUT,Software,https://github.com/sematext/HBaseHUT
RRTAQFS5,HBaseWD,Software,https://github.com/sematext/HBaseWD
KFXA6P7N,HDFS-DU,Software,https://github.com/twitter/hdfs-du
QBJFQ5NN,HDInsight,Software,http://www.microsoft.com/en-us/sqlserver/solutions-technologies/business-intelligence/big-data.aspx
4WZWCJVF,HIHO,Software,https://github.com/sonalgoyal/hiho
EG273F2E,"HOWTO use Hive to SQLize your own Tweets - Part Two: Loading Hive, SQL Queries",Blog Post,http://hortonworks.com/blog/howto-use-hive-to-sqlize-your-own-tweets-part-two-loading-hive-sql-queries/
8W256HQM,HPaste,Software,https://github.com/GravityLabs/HPaste
D2KMAH67,HTTPie,Software,https://github.com/jkbr/httpie
H9UGUX8P,HTrace,Software,https://github.com/cloudera/htrace
CWGGXHQF,Hadoop Beginner's Guide,Book,http://www.worldcat.org/search?q=isbn%3A9781849517317
IJAZJ6GR,Hadoop Data Warehousing with Hive,Presentation,http://strataconf.com/strata2013/public/schedule/detail/26899
XIS7FS67,Hadoop Icons,Blog Post,http://hortonworks.com/blog/a-set-of-hadoop-related-icons/?mkt_tok=3RkMMJWWfF9wsRoiua7OZKXonjHpfsX54%2BgvXKG%2FlMI%2F0ER3fOvrPUfGjI4CTsdjI%2BSLDwEYGJlv6SgFT7TMMbFh1rgNUxc%3D
QGWEIAGG,Hadoop MapReduce cookbook,Book,http://www.worldcat.org/search?q=isbn%3A9781849517287
KJFX422F,Hadoop Operations at LinkedIn,Presentation,http://www.slideshare.net/allenwittenauer/2013-hadoopsummitemea?ref=http://eventifier.co/event/hadoopsummit2013/slides
7ZSFX6V4,Hadoop Patterns of Use,Presentation,http://www.slideshare.net/hortonworks/hadoop-patterns-of-use
QIZCDQ7Z,Hadoop Performance at LinkedIn,Presentation,http://www.slideshare.net/allenwittenauer/2012-lihadoopperf
KS8QEGE5,Hadoop Programming - Pushing the Limit (Pushing the Limits),Book,http://www.worldcat.org/search?q=isbn%3A
MDR5CCZC,Hadoop Tips: Debugging a Hadoop MapReduce Program in Eclipse,Blog Post,http://www.thecloudavenue.com/2012/10/debugging-hadoop-mapreduce-program-in.html
WP87HXEJ,Hadoop and Vertica: The Data Analytics Platform at Twitter,Presentation,http://www.slideshare.net/billonahill/hadoop-summit-2012-hadoop-and-vertica-the-data-analytics-platform-at-twitter
AJGTAHGE,Hadoop in action,Book,http://www.worldcat.org/search?q=isbn%3A9781935182191
